p1,p2,response
13.835486,-57.41319,Oxidoreductases
-36.582047,-48.321926,Oxidoreductases
73.84717,27.14461,Oxidoreductases
59.75009,50.076977,Oxidoreductases
-33.06434,-49.34516,Oxidoreductases
59.7707,50.21683,Oxidoreductases
-44.35886,-41.909233,Oxidoreductases
70.15715,26.527882,Oxidoreductases
-36.598015,-48.3202,Oxidoreductases
74.007904,27.374544,Oxidoreductases
59.64402,51.179268,Oxidoreductases
75.34963,24.733551,Oxidoreductases
-44.34001,-41.78967,Oxidoreductases
13.681856,-57.573837,Oxidoreductases
13.73384,-57.476543,Oxidoreductases
12.751197,-55.55546,Oxidoreductases
96.92997,14.6604595,Oxidoreductases
72.20752,27.432505,Oxidoreductases
-44.358276,-41.89125,Oxidoreductases
73.89871,24.99115,Oxidoreductases
96.817505,14.467953,Oxidoreductases
96.372475,13.85618,Oxidoreductases
96.37859,13.867874,Oxidoreductases
13.742843,-57.469128,Oxidoreductases
96.94379,14.673962,Oxidoreductases
77.02787,25.60531,Oxidoreductases
59.802902,50.122288,Oxidoreductases
-34.911957,-48.79486,Oxidoreductases
59.882824,50.15493,Oxidoreductases
60.096294,50.10943,Oxidoreductases
-32.978207,-47.359497,Oxidoreductases
14.074189,-56.595837,Oxidoreductases
14.074024,-56.596485,Oxidoreductases
-44.34695,-41.914135,Oxidoreductases
-36.435623,-48.29227,Oxidoreductases
96.93982,14.670229,Oxidoreductases
-34.401314,-46.62201,Oxidoreductases
12.762924,-55.54053,Oxidoreductases
75.36788,24.747871,Oxidoreductases
-34.47118,-46.560997,Oxidoreductases
-41.415848,-41.930477,Oxidoreductases
-35.27625,-48.40253,Oxidoreductases
71.45497,26.144821,Oxidoreductases
-33.11287,-47.35462,Oxidoreductases
-33.248135,-47.32307,Oxidoreductases
73.20032,25.593475,Oxidoreductases
-34.8666,-48.83369,Oxidoreductases
-6.029519,-22.254993,Oxidoreductases
7.51285,-56.488785,Oxidoreductases
12.939452,-54.388462,Oxidoreductases
59.629257,51.162663,Oxidoreductases
96.89792,14.6051,Oxidoreductases
13.692376,-57.551945,Oxidoreductases
96.936646,14.635174,Oxidoreductases
72.385,27.414307,Oxidoreductases
96.886215,14.577073,Oxidoreductases
70.249695,26.545828,Oxidoreductases
71.03548,26.11213,Oxidoreductases
-6.036679,-22.258694,Oxidoreductases
13.976353,-57.286667,Oxidoreductases
71.05403,26.158539,Oxidoreductases
60.544075,50.133236,Oxidoreductases
-33.148712,-47.439144,Oxidoreductases
-36.427746,-48.291355,Oxidoreductases
-33.299408,-47.152615,Oxidoreductases
-34.44108,-46.588383,Oxidoreductases
72.96638,25.569519,Oxidoreductases
14.001858,-57.261627,Oxidoreductases
-35.27067,-48.391666,Oxidoreductases
60.591396,50.127827,Oxidoreductases
75.16215,24.69562,Oxidoreductases
17.365694,-17.226738,Oxidoreductases
16.44906,-15.248067,Oxidoreductases
18.829037,-13.307503,Oxidoreductases
16.259922,-13.336472,Oxidoreductases
18.811367,-13.323762,Oxidoreductases
9.154682,-15.551881,Oxidoreductases
18.778246,-13.341032,Oxidoreductases
16.256279,-13.340221,Oxidoreductases
16.250698,-13.331912,Oxidoreductases
16.349463,-15.358922,Oxidoreductases
16.175514,-15.457011,Oxidoreductases
13.965168,-14.349836,Oxidoreductases
13.954179,-14.343659,Oxidoreductases
9.132909,-17.062782,Oxidoreductases
9.080197,-17.118711,Oxidoreductases
9.082516,-15.6695795,Oxidoreductases
-38.589046,-46.893135,Oxidoreductases
-37.7612,-45.57381,Oxidoreductases
23.730484,-19.45013,Oxidoreductases
23.77544,-19.461868,Oxidoreductases
-37.190205,-44.172173,Oxidoreductases
-38.208687,-46.28261,Oxidoreductases
-38.189995,-46.25506,Oxidoreductases
23.77467,-19.4613,Oxidoreductases
-37.32177,-44.84132,Oxidoreductases
-38.803036,-47.24872,Oxidoreductases
23.720526,-19.446295,Oxidoreductases
-37.485123,-45.153645,Oxidoreductases
-38.591995,-46.89675,Oxidoreductases
23.76818,-19.459084,Oxidoreductases
-38.198006,-46.266327,Oxidoreductases
-38.84833,-47.33215,Oxidoreductases
-38.853313,-47.346157,Oxidoreductases
-37.726902,-45.535107,Oxidoreductases
-38.19229,-46.2525,Oxidoreductases
8.129977,-17.235577,Oxidoreductases
8.0770035,-17.236095,Oxidoreductases
8.490782,-17.266247,Oxidoreductases
8.092244,-17.233568,Oxidoreductases
9.896371,-13.277936,Oxidoreductases
8.079649,-17.220272,Oxidoreductases
8.430215,-17.236801,Oxidoreductases
-82.3786,74.26258,Oxidoreductases
-15.942269,112.812515,Oxidoreductases
61.58685,48.33899,Oxidoreductases
-18.989052,115.68369,Oxidoreductases
-19.110811,114.545944,Oxidoreductases
-19.10236,114.583786,Oxidoreductases
-19.126133,114.469986,Oxidoreductases
-19.120117,114.5182,Oxidoreductases
-19.132763,114.4096,Oxidoreductases
-19.146088,114.43901,Oxidoreductases
-19.009308,115.535805,Oxidoreductases
-19.006739,115.20664,Oxidoreductases
-19.005539,115.23583,Oxidoreductases
16.887564,-14.794884,Oxidoreductases
-60.911293,70.028496,Oxidoreductases
-60.914207,70.031746,Oxidoreductases
54.080338,-30.926613,Oxidoreductases
54.21845,-31.064611,Oxidoreductases
51.79601,-30.232618,Oxidoreductases
30.093582,-15.116764,Oxidoreductases
26.50653,-13.734,Oxidoreductases
30.3724,-14.997563,Oxidoreductases
28.26383,-12.828712,Oxidoreductases
26.758217,-13.849123,Oxidoreductases
26.59133,-13.787615,Oxidoreductases
26.800129,-13.896009,Oxidoreductases
26.703886,-13.842506,Oxidoreductases
25.840597,-12.183045,Oxidoreductases
31.122246,-14.64363,Oxidoreductases
31.16111,-14.611722,Oxidoreductases
29.840307,-15.253542,Oxidoreductases
28.29938,-12.792627,Oxidoreductases
28.525276,-12.453957,Oxidoreductases
28.339596,-12.729523,Oxidoreductases
24.908262,-13.493561,Oxidoreductases
27.78386,-15.172984,Oxidoreductases
27.67631,-15.037581,Oxidoreductases
26.628124,-13.802149,Oxidoreductases
26.667017,-13.817357,Oxidoreductases
27.74868,-15.110391,Oxidoreductases
30.041325,-15.144482,Oxidoreductases
24.953085,-13.492942,Oxidoreductases
29.937714,-15.170469,Oxidoreductases
24.944702,-13.492688,Oxidoreductases
31.319315,-14.485058,Oxidoreductases
29.826725,-15.264293,Oxidoreductases
27.37156,-15.001084,Oxidoreductases
27.377777,-15.001941,Oxidoreductases
25.8351,-12.207427,Oxidoreductases
27.774765,-15.143273,Oxidoreductases
29.879553,-15.236463,Oxidoreductases
54.303844,-28.98603,Oxidoreductases
53.538383,-26.45774,Oxidoreductases
53.33478,-26.445604,Oxidoreductases
52.57589,-26.19701,Oxidoreductases
52.447426,-26.15217,Oxidoreductases
53.896503,-26.732887,Oxidoreductases
53.929783,-26.721085,Oxidoreductases
51.87714,-32.50796,Oxidoreductases
52.47937,-26.162315,Oxidoreductases
53.93334,-26.700468,Oxidoreductases
54.19499,-26.473764,Oxidoreductases
52.780624,-30.170279,Oxidoreductases
53.377384,-26.473467,Oxidoreductases
53.327885,-26.438698,Oxidoreductases
54.009186,-26.574774,Oxidoreductases
54.259148,-29.002033,Oxidoreductases
51.877163,-32.511982,Oxidoreductases
51.88033,-32.501072,Oxidoreductases
52.63646,-30.019356,Oxidoreductases
52.504147,-30.073397,Oxidoreductases
51.87914,-32.503384,Oxidoreductases
52.5815,-30.027866,Oxidoreductases
52.795586,-29.799206,Oxidoreductases
-36.411755,-42.779423,Oxidoreductases
-34.73999,-42.582153,Oxidoreductases
-38.603912,-39.316917,Oxidoreductases
-34.96687,-42.932056,Oxidoreductases
-34.85806,-43.41548,Oxidoreductases
-36.243713,-41.524883,Oxidoreductases
61.569324,48.36085,Oxidoreductases
-35.100548,-42.90743,Oxidoreductases
61.526424,48.417023,Oxidoreductases
61.53636,48.398155,Oxidoreductases
-34.324253,-43.09817,Oxidoreductases
-39.91018,-41.097973,Oxidoreductases
-38.690525,-39.364864,Oxidoreductases
-36.62459,-42.29101,Oxidoreductases
-38.80919,-39.462433,Oxidoreductases
-37.149853,-44.357845,Oxidoreductases
-36.45318,-41.22457,Oxidoreductases
-34.77347,-43.306675,Oxidoreductases
-34.295143,-43.151775,Oxidoreductases
-36.57047,-43.201244,Oxidoreductases
-39.630924,-40.745556,Oxidoreductases
30.90953,3.2792997,Oxidoreductases
13.641882,-9.255125,Oxidoreductases
13.695151,-9.238787,Oxidoreductases
9.584301,-17.470013,Oxidoreductases
9.679825,-17.56368,Oxidoreductases
9.312406,-17.242823,Oxidoreductases
9.633958,-17.498993,Oxidoreductases
25.682364,77.05216,Oxidoreductases
13.165262,-16.248932,Oxidoreductases
13.201991,-16.263731,Oxidoreductases
13.147464,-16.233694,Oxidoreductases
23.959866,78.47529,Oxidoreductases
74.61363,-29.281284,Oxidoreductases
75.52428,-33.488556,Oxidoreductases
